Joueur,Distance (px),Vitesse moy (px/frame),Temps gauche,Temps droite,Frames
1,-0.13498081137066,-0.5371740606288816,336,0,336
2,0.42783187153111985,-0.3941122403583034,440,0,440
3,0.7308897459758024,-0.09368241779008839,440,0,440
5,0.27035750601239233,-0.5514802426559394,440,0,440
6,0.2878122660910884,-0.5371740606288816,440,0,440
7,2.6355569810112183,1.866264519916836,440,0,440
8,0.7277421662894801,0.46425868126516734,354,0,354
9,1.0685074095016185,0.2639721328863577,440,0,440
10,1.4887887819611503,1.1080368724827705,323,65,388
11,-1.1867175388811604,-0.40841842238536125,77,0,77
12,1.5858550524898551,0.7933008678874978,440,0,440
13,1.012264293692487,0.20674740477812628,338,102,440
14,0.25268018979425955,-0.5800926067100551,440,0,440
15,0.0992118347853965,-0.7374606090076916,414,26,440
17,0.011206778505194982,-0.8232977011700384,386,54,440
18,0.06430231462800437,-0.7660729730618073,302,138,440
19,0.09612784256748491,-0.7374606090076916,439,0,439
20,-0.2852062054905849,-1.1237275237382531,351,88,439
21,0.835650100182184,0.020767038426374142,439,0,439
22,-0.7159795102378572,-1.5672191665770465,438,0,438
23,0.5352628994107447,-0.2653566021147827,382,54,436
24,-0.2104909301081884,-1.0235842495488483,432,0,432
26,-1.296596684294591,-0.7231544269806337,62,0,62
27,-0.036515616536922924,-0.5085616965747659,355,0,355
31,-1.2385095319015536,0.36411540707576234,47,0,47
32,-1.0833879027140165,1.9521016120791832,46,0,46
34,-1.3117622955105073,0.7360761397792663,31,0,31
36,-0.8744712752511536,2.3383685268097447,62,0,62
38,-1.3543976930797814,-1.1952584338735426,65,0,65
39,-1.0909230177206666,0.7789946858604402,62,0,62
40,-1.3101090213318332,1.680284153565084,24,0,24
