Joueur,Distance (px),Vitesse moy (px/frame),Temps gauche,Temps droite,Frames
36,-0.8744712752511536,2.3383685268097447,62,0,62
18,0.0643023146280043,-0.7660729730618073,302,138,440
27,-0.0365156165369229,-0.5085616965747659,355,0,355
20,-0.2852062054905849,-1.1237275237382531,351,88,439
10,1.4887887819611505,1.1080368724827705,323,65,388
11,-1.1867175388811604,-0.4084184223853612,77,0,77
39,-1.0909230177206666,0.7789946858604402,62,0,62
31,-1.2385095319015536,0.3641154070757623,47,0,47
14,0.2526801897942595,-0.5800926067100551,440,0,440
1,-0.13498081137066,-0.5371740606288816,336,0,336
6,0.2878122660910884,-0.5371740606288816,440,0,440
19,0.0961278425674849,-0.7374606090076916,439,0,439
7,2.6355569810112183,1.866264519916836,440,0,440
15,0.0992118347853965,-0.7374606090076916,414,26,440
13,1.012264293692487,0.2067474047781262,338,102,440
26,-1.296596684294591,-0.7231544269806337,62,0,62
2,0.4278318715311198,-0.3941122403583034,440,0,440
3,0.7308897459758024,-0.0936824177900883,440,0,440
32,-1.0833879027140163,1.9521016120791832,46,0,46
5,0.2703575060123923,-0.5514802426559394,440,0,440
24,-0.2104909301081884,-1.0235842495488483,432,0,432
34,-1.3117622955105073,0.7360761397792663,31,0,31
21,0.835650100182184,0.0207670384263741,439,0,439
40,-1.3101090213318332,1.680284153565084,24,0,24
23,0.5352628994107447,-0.2653566021147827,382,54,436
