Joueur,Distance (px),Vitesse moy (px/frame),Temps gauche,Temps droite,Frames
1,438.03,1.3,336,0,336
2,615.05,1.4,440,0,440
3,710.37,1.61,440,0,440
5,565.52,1.29,440,0,440
6,571.01,1.3,440,0,440
7,1309.44,2.98,440,0,440
8,709.38,2.0,354,0,354
9,816.56,1.86,440,0,440
10,948.75,2.45,323,65,388
11,107.23,1.39,77,0,77
12,979.28,2.23,440,0,440
13,798.87,1.82,338,102,440
14,559.96,1.27,440,0,440
15,511.69,1.16,414,26,440
17,484.01,1.1,386,54,440
18,500.71,1.14,302,138,440
19,510.72,1.16,439,0,439
20,390.78,0.89,351,88,439
21,743.32,1.69,439,0,439
22,255.29,0.58,438,0,438
23,648.84,1.49,382,54,436
24,414.28,0.96,432,0,432
26,72.67,1.17,62,0,62
27,469.0,1.32,355,0,355
31,90.94,1.93,47,0,47
32,139.73,3.04,46,0,46
34,67.9,2.19,31,0,31
36,205.44,3.31,62,0,62
38,54.49,0.84,65,0,65
39,137.36,2.22,62,0,62
40,68.42,2.85,24,0,24
